,Force,Separation
0,1.5513107378252385e-06,2.0
1,1.2647223474983656e-06,2.2
2,1.0065275501923525e-06,2.4000000000000004
3,7.899637796799237e-07,2.6000000000000005
4,6.181996960652104e-07,2.8000000000000007
5,4.856885191844103e-07,3.000000000000001
6,3.8439836795442707e-07,3.200000000000001
7,3.0692664446157304e-07,3.4000000000000012
8,2.473442288363482e-07,3.6000000000000014
9,2.0115860249750307e-07,3.8000000000000016
10,1.6503967726444183e-07,4.000000000000002
11,1.3653501391268805e-07,4.200000000000002
