,Force,Separation
0,1.4139525857198658e-06,2.0
1,1.146700398958374e-06,2.2
2,9.084568438315543e-07,2.4000000000000004
3,7.105781590275867e-07,2.6000000000000005
4,5.547388789946481e-07,2.8000000000000007
5,4.3508571172495387e-07,3.000000000000001
6,3.439218389972823e-07,3.200000000000001
7,2.74354778584484e-07,3.4000000000000012
8,2.209403448394996e-07,3.6000000000000014
9,1.7958680612176593e-07,3.8000000000000016
10,1.47276999318805e-07,4.000000000000002
11,1.2179693363693281e-07,4.200000000000002
