,Force,Separation
0,1.1572531099341128e-06,2.0
1,9.27774902361692e-07,2.2
2,7.278549865275167e-07,2.4000000000000004
3,5.652327322956525e-07,2.6000000000000005
4,4.390423353610355e-07,2.8000000000000007
5,3.43112630473247e-07,3.000000000000001
6,2.705175207951392e-07,3.200000000000001
7,2.153832268203412e-07,3.4000000000000012
8,1.7319583588648337e-07,3.6000000000000014
9,1.4061762839618007e-07,3.8000000000000016
10,1.1521342324179745e-07,4.000000000000002
11,9.520937248604467e-08,4.200000000000002
