,Force,Separation
0,1.5220668760407994e-06,2.0
1,1.2395484231237072e-06,2.2
2,9.855709957650097e-07,2.4000000000000004
3,7.729749259005233e-07,2.6000000000000005
4,6.046040323414639e-07,2.8000000000000007
5,4.748389808809492e-07,3.000000000000001
6,3.757149694782757e-07,3.200000000000001
7,2.9993603621906844e-07,3.4000000000000012
8,2.4167555904798e-07,3.6000000000000014
9,1.9652617387118632e-07,3.8000000000000016
10,1.6122448153602186e-07,4.000000000000002
11,1.3336896039905357e-07,4.200000000000002
