,Force,Separation
0,1.4663138464351592e-06,2.0
1,1.1916239568975623e-06,2.2
2,9.457318764239326e-07,2.4000000000000004
3,7.407157236160439e-07,2.6000000000000005
4,5.788098980631361e-07,2.8000000000000007
5,4.542675488509312e-07,3.000000000000001
6,3.5925808757606493e-07,3.200000000000001
7,2.8669178821903484e-07,3.4000000000000012
8,2.3093855602085411e-07,3.6000000000000014
9,1.8775363675685515e-07,3.8000000000000016
10,1.5400067737068295e-07,4.000000000000002
11,1.273750068464844e-07,4.200000000000002
