c,0.1,0.15,0.2,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0
2.0,2.95e-09,6.37e-09,1.09e-08,1.01e-06,1.03e-06,1.05e-06,1.07e-06,1.09e-06,1.11e-06,1.13e-06,1.15e-06
2.2,2.03e-09,4.42e-09,7.57e-09,8.01e-07,8.22e-07,8.41e-07,8.59e-07,8.75e-07,8.91e-07,9.05e-07,9.19e-07
2.4,1.44e-09,3.14e-09,5.4e-09,6.25e-07,6.42e-07,6.58e-07,6.72e-07,6.86e-07,6.98e-07,7.1e-07,7.21e-07
2.6,1.04e-09,2.28e-09,3.93e-09,4.84e-07,4.97e-07,5.09e-07,5.21e-07,5.32e-07,5.42e-07,5.51e-07,5.6e-07
2.8,7.69e-10,1.69e-09,2.92e-09,3.75e-07,3.85e-07,3.95e-07,4.04e-07,4.13e-07,4.21e-07,4.28e-07,4.35e-07
3.0,5.78e-10,1.28e-09,2.21e-09,2.92e-07,3e-07,3.08e-07,3.15e-07,3.22e-07,3.29e-07,3.34e-07,3.4e-07
3.2,4.41e-10,9.79e-10,1.7e-09,2.3e-07,2.37e-07,2.43e-07,2.48e-07,2.54e-07,2.59e-07,2.64e-07,2.68e-07
3.4000000000000004,3.41e-10,7.61e-10,1.33e-09,1.83e-07,1.88e-07,1.93e-07,1.98e-07,2.02e-07,2.06e-07,2.1e-07,2.13e-07
3.6,2.66e-10,5.98e-10,1.05e-09,1.47e-07,1.51e-07,1.55e-07,1.59e-07,1.62e-07,1.66e-07,1.69e-07,1.72e-07
3.8,2.09e-10,4.75e-10,8.33e-10,1.19e-07,1.23e-07,1.26e-07,1.29e-07,1.32e-07,1.34e-07,1.37e-07,1.39e-07
4.0,1.66e-10,3.8e-10,6.7e-10,9.75e-08,1e-07,1.03e-07,1.06e-07,1.08e-07,1.1e-07,1.12e-07,1.14e-07
4.2,1.32e-10,3.06e-10,5.42e-10,8.05e-08,8.29e-08,8.51e-08,8.71e-08,8.91e-08,9.09e-08,9.26e-08,9.42e-08
