,Force,Separation
0,-5.2198112878526646e-05,2.0
1,-6.4607701946361236e-06,2.2
2,-3.282154419273837e-06,2.4000000000000004
3,-2.027499221144875e-06,2.6000000000000005
4,-1.3711025607876837e-06,2.8000000000000007
5,-9.789265023440485e-07,3.000000000000001
6,-7.253912302906231e-07,3.200000000000001
7,-5.525744051100234e-07,3.4000000000000012
8,-4.3015651298993565e-07,3.6000000000000014
9,-3.4083645582790925e-07,3.8000000000000016
10,-2.7410340981904156e-07,4.000000000000002
11,-2.2326025756832232e-07,4.200000000000002
