,Force,Separation
0,-0.0004094672668470943,2.0
1,-9.810277354356562e-06,2.2
2,-4.6708824971328325e-06,2.4000000000000004
3,-2.8083200383493603e-06,2.6000000000000005
4,-1.8711717700675747e-06,2.8000000000000007
5,-1.3237005003848283e-06,3.000000000000001
6,-9.748325980389043e-07,3.200000000000001
7,-7.393647856940204e-07,3.4000000000000012
8,-5.737363724837574e-07,3.6000000000000014
9,-4.535147806950326e-07,3.8000000000000016
10,-3.6404756962717364e-07,4.000000000000002
11,-2.960911249936689e-07,4.200000000000002
