,Force,Separation
0,-0.0005989391505144493,2.0
1,-1.019913026825138e-05,2.2
2,-4.824333715648838e-06,2.4000000000000004
3,-2.892844391301839e-06,2.6000000000000005
4,-1.924696750314144e-06,2.8000000000000007
5,-1.360344145301553e-06,3.000000000000001
6,-1.0012184679307279e-06,3.200000000000001
7,-7.590571678510375e-07,3.4000000000000012
8,-5.888359763066529e-07,3.6000000000000014
9,-4.653425432812095e-07,3.8000000000000016
10,-3.734753437593661e-07,4.000000000000002
11,-3.037164533401939e-07,4.200000000000002
