,Force,Separation
0,-0.0005642970713099961,2.0
1,-1.013820202073954e-05,2.2
2,-4.800384261793915e-06,2.4000000000000004
3,-2.879673572774634e-06,2.6000000000000005
4,-1.91636359409156e-06,2.8000000000000007
5,-1.3546422801674512e-06,3.000000000000001
6,-9.971142332677116e-07,3.200000000000001
7,-7.55994867811633e-07,3.4000000000000012
8,-5.864883259794412e-07,3.6000000000000014
9,-4.635038519298937e-07,3.8000000000000016
10,-3.7200990458879836e-07,4.000000000000002
11,-3.0253128596037183e-07,4.200000000000002
