,Force,Separation
0,-0.00010884695494429932,2.0
1,-7.944908295500333e-06,2.2
2,-3.913459716916892e-06,2.4000000000000004
3,-2.3861928957428516e-06,2.6000000000000005
4,-1.6021401913108785e-06,2.8000000000000007
5,-1.138782204354108e-06,3.000000000000001
6,-8.413212439525215e-07,3.200000000000001
7,-6.395328938381143e-07,3.4000000000000012
8,-4.970811831103732e-07,3.6000000000000014
9,-3.9340633399840114e-07,3.8000000000000016
10,-3.1609684718874883e-07,4.000000000000002
11,-2.572830056614378e-07,4.200000000000002
