,Force,Separation
0,-7.990995949799409e-05,2.0
1,-7.334351665227866e-06,2.2
2,-3.6571133655717796e-06,2.4000000000000004
3,-2.2413426418466404e-06,2.6000000000000005
4,-1.5091246667134044e-06,2.8000000000000007
5,-1.0745471101295408e-06,3.000000000000001
6,-7.947967592594039e-07,3.200000000000001
7,-6.04666910973161e-07,3.4000000000000012
8,-4.702657163146322e-07,3.6000000000000014
9,-3.7235322210490906e-07,3.8000000000000016
10,-2.9928595262477294e-07,4.000000000000002
11,-2.436671504105889e-07,4.200000000000002
