,Force,Separation
0,-9.974288731595124e-07,5
1,1.2507773072259258e-05,5
2,0.00017324037149103188,5
3,0.0008179102002226521,5
4,0.01619887871276235,5
5,-0.0002651473139491382,5
6,0.003960147512978858,5
7,0.024511625510214005,5
8,0.004328665625173698,5
9,0.025005850351576042,5
10,-0.0007036885737104148,5
11,0.026458694861551474,5
12,0.10330036106605861,5
13,0.04330204601674306,5
14,0.015417020643698718,5
15,0.016453030450255438,5
16,0.0023060393699649486,5
17,0.008918634876580182,5
18,0.012624272169862892,5
