,Force,Separation
0,-0.00017256207569872232,2.0
1,-8.739216874843393e-06,2.2
2,-4.2405007373752186e-06,2.4000000000000004
3,-2.5694966774970557e-06,2.6000000000000005
4,-1.7193257469443712e-06,2.8000000000000007
5,-1.219484324521197e-06,3.000000000000001
6,-8.996634723662028e-07,3.200000000000001
7,-6.83197496919304e-07,3.4000000000000012
8,-5.306311221888728e-07,3.6000000000000014
9,-4.197274639387125e-07,3.8000000000000016
10,-3.371023562621595e-07,4.000000000000002
11,-2.742886744644761e-07,4.200000000000002
