c,0.1,0.15,0.2,0.25,0.5,0.75,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,15.0,20.0,30.0,40.0,50.0,60.0,70.0,75.0,80.0,85.0,90.0,100.0
2.0,2.9503568051e-09,6.3714190129e-09,1.086005672844e-08,1.627300921484e-08,5.336778433337e-08,1.0031019296647e-07,1.5136414670384e-07,2.5478232447814e-07,3.5218667744915e-07,4.4055039634652e-07,5.1965981255509e-07,5.9023204447084e-07,6.5323294526189e-07,7.0962549676212e-07,7.602829099225e-07,8.0596649174664e-07,8.4732853742165e-07,8.8492395010034e-07,9.1922388572155e-07,9.5062877354662e-07,9.7947979699955e-07,1.00606800850016e-06,1.03064501998687e-06,1.05342596213447e-06,1.07459752929354e-06,1.09432194112702e-06,1.11274071878938e-06,1.12997780828186e-06,1.14614217201484e-06,1.23327307300394e-06,1.31832260941971e-06,1.41395258571987e-06,1.46631384643516e-06,1.49933959403424e-06,1.5220668760408e-06,1.53866176930569e-06,1.54538599654656e-06,1.55131073782524e-06,1.55657054985028e-06,1.56127140326745e-06,1.56931835418854e-06
2.2,2.03292274805e-09,4.41848126563e-09,7.57326706942e-09,1.140533069285e-08,3.817807484884e-08,7.287404407877e-08,1.1130623551819e-07,1.9075250761358e-07,2.6704921336602e-07,3.3723283848228e-07,4.0072382988767e-07,4.578235369455e-07,5.0912858006583e-07,5.552962398013e-07,5.9695241636762e-07,6.346594760098e-07,6.6890939373961e-07,7.0012720441036e-07,7.2867815887693e-07,7.5487569539868e-07,7.7898901686451e-07,8.0124983369314e-07,8.2185814838068e-07,8.4098718741859e-07,8.5878750180213e-07,8.7539041022742e-07,8.9091086887604e-07,9.0544986762843e-07,9.1909643436589e-07,9.9236724463254e-07,1.06487838971299e-06,1.14670039895837e-06,1.19162395689756e-06,1.22000129151853e-06,1.23954842312371e-06,1.25383074606625e-06,1.25962018180742e-06,1.26472234749837e-06,1.26925273970647e-06,1.27330235380634e-06,1.28023596094438e-06
2.4,1.43745549578e-09,3.13807537192e-09,5.39746386872e-09,8.15342145078e-09,2.762861727901e-08,5.323872256295e-08,8.19455754459e-08,1.4212048193702e-07,2.007285352378e-07,2.552122868808e-07,3.0490569360495e-07,3.4988988167819e-07,3.905253938342e-07,4.2725483476058e-07,4.6051987605846e-07,4.9072838761925e-07,5.1824386692999e-07,5.4338466338559e-07,5.6642725514563e-07,5.8761092614417e-07,6.0714263901847e-07,6.2520158812436e-07,6.419432420895e-07,6.5750284322082e-07,6.7199838933818e-07,6.8553315852588e-07,6.9819783797963e-07,7.1007231715042e-07,7.2122719875432e-07,7.8094812021204e-07,8.4074658411196e-07,9.0845684383155e-07,9.4573187642393e-07,9.6931260211035e-07,9.8557099576501e-07,9.9745813719433e-07,1.00227852039465e-06,1.00652755019235e-06,1.01030110102618e-06,1.01367473783692e-06,1.01945215238629e-06
2.6,1.04058391674e-09,2.28022702222e-09,3.93225173764e-09,5.95273689583e-09,2.033188602612e-08,3.941219055018e-08,6.095983642395e-08,1.0653479156078e-07,1.5133666639737e-07,1.9328385697493e-07,2.3175961686645e-07,2.6674915781795e-07,2.9847630338535e-07,3.2724533171248e-07,3.5337181455987e-07,3.7715349139229e-07,3.9885949486029e-07,4.1872796566113e-07,4.3696736722741e-07,4.5375926835539e-07,4.6926153814536e-07,4.8361147027937e-07,4.969286341413e-07,5.0931738684176e-07,5.2086904418569e-07,5.3166373712033e-07,5.4177199021268e-07,5.5125606028997e-07,5.6017107093904e-07,6.0783864952716e-07,6.5595047681024e-07,7.1057815902759e-07,7.4071572361604e-07,7.5980395737137e-07,7.7297492590052e-07,7.8260984600579e-07,7.8651814538048e-07,7.8996377967992e-07,7.9302429158695e-07,7.9576081669175e-07,8.0044795382792e-07
2.8,7.6885504028e-10,1.69115156833e-09,2.92319138596e-09,4.43291140567e-09,1.522856340202e-08,2.963890478781e-08,4.599208304512e-08,8.078459046368e-08,1.1519766803502e-07,1.4757228335762e-07,1.7738128545902e-07,2.0457414040851e-07,2.292957952006e-07,2.5176189875519e-07,2.7220293751416e-07,2.9083988283952e-07,3.0787455074249e-07,3.2348684609344e-07,3.37835149775e-07,3.5105803589004e-07,3.6327644140225e-07,3.7459587265451e-07,3.8510846362835e-07,3.9489481542042e-07,4.0402560233573e-07,4.1256295593359e-07,4.2056164907601e-07,4.2807010511065e-07,4.3513125674732e-07,4.7288625950299e-07,5.1117602274416e-07,5.5473887899465e-07,5.7880989806314e-07,5.940691528294e-07,6.0460403234146e-07,6.1231360217879e-07,6.1544162543867e-07,6.1819969606521e-07,6.2064976286051e-07,6.2284067827745e-07,6.2659375846226e-07
3.0,5.7810791227e-10,1.2769010649e-09,2.21235105768e-09,3.36042563363e-09,1.15992958276e-08,2.264276901507e-08,3.521719405546e-08,6.207823708423e-08,8.87584447826e-08,1.1394089206401e-07,1.3718897409086e-07,1.5844273171857e-07,1.7780005573497e-07,1.954183264249e-07,2.1146970489968e-07,2.261212229783e-07,2.3952659011889e-07,2.5182356472287e-07,2.6313391949761e-07,2.7356454504733e-07,2.8320897664599e-07,2.9214899862849e-07,3.0045616716098e-07,3.0819318615901e-07,3.1541511790908e-07,3.2217043234594e-07,3.2850190877567e-07,3.3444740725489e-07,3.400405270931e-07,3.6997650451642e-07,4.0041045668738e-07,4.3508571172495e-07,4.5426754885093e-07,4.664351414792e-07,4.7483898088095e-07,4.8099077244563e-07,4.8348717156619e-07,4.8568851918441e-07,4.8764418990235e-07,4.8939312674223e-07,4.9238935951264e-07
3.2,4.4116524587e-10,9.7916061034e-10,1.70086006961e-09,2.58785755568e-09,8.97177600861e-09,1.755599741791e-08,2.735413310165e-08,4.834523971218e-08,6.925778099843e-08,8.90426682185e-08,1.0734224841313e-07,1.2409795192798e-07,1.3937838800017e-07,1.5330138126188e-07,1.6599816766897e-07,1.7759722243281e-07,1.8821743983308e-07,1.9796579848573e-07,2.0693714658768e-07,2.1521493869233e-07,2.2287234456248e-07,2.2997344633189e-07,2.3657439044227e-07,2.4272443734021e-07,2.4846689048321e-07,2.5383990503426e-07,2.5887718518707e-07,2.6360858232429e-07,2.6806060680458e-07,2.9193434426214e-07,3.1622121285971e-07,3.4392183899728e-07,3.5925808757607e-07,3.6899082212679e-07,3.7571496947828e-07,3.8063821244084e-07,3.8263631043917e-07,3.8439836795443e-07,3.8596386583989e-07,3.8736394746988e-07,3.8976268912834e-07
3.4000000000000004,3.4085660632e-10,7.6090243883e-10,1.32562586922e-09,2.02067176134e-09,7.03618379149e-09,1.379785348885e-08,2.153027495173e-08,3.813203608242e-08,5.470867125833e-08,7.041866927851e-08,8.496950372191e-08,9.830797656139e-08,1.1048371029399e-07,1.2158684651392e-07,1.3171922444016e-07,1.409812330048e-07,1.4946617272919e-07,1.5725824485586e-07,1.6443227126393e-07,1.7105420320211e-07,1.7718194853191e-07,1.828662850489e-07,1.8815174895781e-07,1.9307744987039e-07,1.9767779536424e-07,2.0198312380878e-07,2.0602025144969e-07,2.0981294266601e-07,2.1338231301468e-07,2.3257513821371e-07,2.5208511479007e-07,2.7435477858448e-07,2.8669178821904e-07,2.9452383595677e-07,2.9993603621907e-07,3.0389931881996e-07,3.0550796341496e-07,3.0692664446157e-07,3.0818712463152e-07,3.0931446130644e-07,3.1124600766425e-07
3.6,2.6605244836e-10,5.9805086322e-10,1.04549752866e-09,1.59702107021e-09,5.58695099074e-09,1.097824145198e-08,1.715307709078e-08,3.043351322673e-08,4.371684130424e-08,5.632245814769e-08,6.80103742437e-08,7.873379972968e-08,8.852957839427e-08,9.746794844807e-08,1.0562917528402e-07,1.1309281403335e-07,1.1993304960348e-07,1.2621698732545e-07,1.3200436131535e-07,1.3734789606451e-07,1.4229393766873e-07,1.4688316386375e-07,1.5115128088032e-07,1.5512966604979e-07,1.5884594114124e-07,1.6232447441799e-07,1.6558681554359e-07,1.6865207001619e-07,1.7153722051269e-07,1.8710620454067e-07,2.0290086864528e-07,2.209403448395e-07,2.3093855602085e-07,2.3728749665964e-07,2.4167555904798e-07,2.4488925613492e-07,2.4619374395493e-07,2.4734422883635e-07,2.4836645378993e-07,2.4928072872608e-07,2.5084727977696e-07
