,Force,Separation
0,-0.00020333105297902054,2.0
1,-9.011565485323503e-06,2.2
2,-4.3510518994113e-06,2.4000000000000004
3,-2.6310967190920235e-06,2.6000000000000005
4,-1.7585799077395132e-06,2.8000000000000007
5,-1.2464632874199036e-06,3.000000000000001
6,-9.191411670279618e-07,3.200000000000001
7,-6.977611302507129e-07,3.4000000000000012
8,-5.418133373512244e-07,3.6000000000000014
9,-4.2849567419802983e-07,3.8000000000000016
10,-3.4409694444790144e-07,4.000000000000002
11,-2.799495405832296e-07,4.200000000000002
