,Force,Separation
0,1.5825512371587812e-15,2
1,2.0454985978766243e-14,2
2,2.6417726754998517e-13,2
3,3.4121293905674224e-12,2
4,4.406960985783238e-11,2
5,5.690137839157313e-10,2
6,7.351078871393326e-09,2
7,9.494679824635444e-08,2
8,1.2263201859073483e-06,2
9,1.583701693707634e-05,2
