,Force,Separation
0,-0.00037274366117090213,2.0
1,-9.697882441361298e-06,2.2
2,-4.626258938937236e-06,2.4000000000000004
3,-2.7836797772741375e-06,2.6000000000000005
4,-1.855547421833712e-06,2.8000000000000007
5,-1.3129950373536027e-06,3.000000000000001
6,-9.67119645376718e-07,3.200000000000001
7,-7.336061608593742e-07,3.4000000000000012
8,-5.69319532091935e-07,3.6000000000000014
9,-4.5005424301665285e-07,3.8000000000000016
10,-3.612887493441063e-07,4.000000000000002
11,-2.9385945245829574e-07,4.200000000000002
